
2025/06/25 (22:15:45) | ===> btop++ v.1.4.0
2025/06/25 (22:15:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/26 (22:17:13) | ===> btop++ v.1.4.0
2025/06/26 (22:17:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/29 (15:11:02) | ===> btop++ v.1.4.0
2025/06/29 (15:11:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/30 (20:33:36) | ===> btop++ v.1.4.0
2025/06/30 (20:33:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/30 (21:55:29) | ===> btop++ v.1.4.0
2025/06/30 (21:55:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/30 (23:04:31) | ===> btop++ v.1.4.0
2025/06/30 (23:04:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/01 (11:37:55) | ===> btop++ v.1.4.0
2025/07/01 (11:37:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/01 (11:38:11) | WARNING: Failed to join _runner thread on exit!

2025/07/01 (16:35:05) | ===> btop++ v.1.4.0
2025/07/01 (16:35:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/01 (17:25:59) | ===> btop++ v.1.4.0
2025/07/01 (17:25:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/04 (21:49:45) | ===> btop++ v.1.4.0
2025/07/04 (21:49:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/05 (17:50:53) | ===> btop++ v.1.4.0
2025/07/05 (17:50:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/06 (18:20:07) | ===> btop++ v.1.4.0
2025/07/06 (18:20:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/06 (18:20:26) | WARNING: Failed to join _runner thread on exit!

2025/07/06 (21:32:31) | ===> btop++ v.1.4.0
2025/07/06 (21:32:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/07 (17:25:51) | ===> btop++ v.1.4.0
2025/07/07 (17:25:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/07 (17:27:27) | WARNING: Failed to join _runner thread on exit!

2025/07/07 (17:27:28) | ===> btop++ v.1.4.0
2025/07/07 (17:27:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/07 (18:13:21) | ===> btop++ v.1.4.0
2025/07/07 (18:13:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/10 (00:19:40) | ===> btop++ v.1.4.0
2025/07/10 (00:19:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/10 (00:19:45) | WARNING: Failed to join _runner thread on exit!

2025/07/11 (02:28:32) | ===> btop++ v.1.4.0
2025/07/11 (02:28:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/11 (02:47:41) | ===> btop++ v.1.4.0
2025/07/11 (02:47:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/07/14 (23:31:41) | ===> btop++ v.1.4.0
